"","From","To","age","sex","psi",".lower",".upper",".width",".point",".interval"
"445","LL","LL",0,0,0.99443494519642,0.99312018531807,0.995821121558344,0.9,"mean","qi"
"446","LL","LL",0,1,0.98980427235821,0.987184544052385,0.992426130753129,0.9,"mean","qi"
"447","LL","LL",1,0,0.99140782222453,0.98982609116256,0.99303539971229,0.9,"mean","qi"
"448","LL","LL",1,1,0.984389238349219,0.982166897026529,0.986374303984017,0.9,"mean","qi"
"449","LL","M",0,0,5.38362050933365e-05,3.76162942551873e-05,7.46028169758395e-05,0.9,"mean","qi"
"450","LL","M",0,1,9.85758390962336e-05,6.73374494135802e-05,0.000137750183389276,0.9,"mean","qi"
"451","LL","M",1,0,8.33614066929396e-05,5.75244004713907e-05,0.000114015649851312,0.9,"mean","qi"
"452","LL","M",1,1,0.000151438951791609,0.000110654032102206,0.000201282929029387,0.9,"mean","qi"
"453","LL","P",0,0,1.52236242566173e-05,1.01463190589864e-05,2.24995942483243e-05,0.9,"mean","qi"
"454","LL","P",0,1,2.78801882191484e-05,1.8356421821396e-05,4.22494474772346e-05,0.9,"mean","qi"
"455","LL","P",1,0,2.35774758563761e-05,1.51935183656123e-05,3.43163614583227e-05,0.9,"mean","qi"
"456","LL","P",1,1,4.28420915599868e-05,2.90356456084882e-05,6.09301676414756e-05,0.9,"mean","qi"
"457","LL","RLNWR_N",0,0,2.54147172037257e-05,1.69492837154124e-05,3.72038799873221e-05,0.9,"mean","qi"
"458","LL","RLNWR_N",0,1,4.65042727457159e-05,2.94702173922893e-05,6.67751805005903e-05,0.9,"mean","qi"
"459","LL","RLNWR_N",1,0,3.94373004894454e-05,2.5617419058585e-05,5.77433361703261e-05,0.9,"mean","qi"
"460","LL","RLNWR_N",1,1,7.16232287856624e-05,4.87395242847194e-05,0.000101980908359477,0.9,"mean","qi"
"461","LL","RLNWR_S",0,0,5.28267622739443e-05,3.74292715288897e-05,7.34777381572849e-05,0.9,"mean","qi"
"462","LL","RLNWR_S",0,1,9.66879302969459e-05,6.45095378574768e-05,0.00013380295867937,0.9,"mean","qi"
"463","LL","RLNWR_S",1,0,8.18855072671737e-05,5.67070577447488e-05,0.000114194153603425,0.9,"mean","qi"
"464","LL","RLNWR_S",1,1,0.000148724586674003,0.000107525398466558,0.00020155942134459,0.9,"mean","qi"
"465","LL","WL",0,0,0.00100207480307816,0.00074292697826725,0.00125813752047302,0.9,"mean","qi"
"466","LL","WL",0,1,0.00183589495621123,0.00136433143038522,0.00233377530908171,0.9,"mean","qi"
"467","LL","WL",1,0,0.00154744126598775,0.00124462116555774,0.00185915909803375,0.9,"mean","qi"
"468","LL","WL",1,1,0.0028115269116514,0.00240246535846457,0.00323397178990876,0.9,"mean","qi"
"469","RLNWR_N","BB",0,0,0.0103749971579033,0.00726506615235457,0.0134504706058573,0.9,"mean","qi"
"470","RLNWR_N","BB",0,1,0.0183025273549138,0.0137013545934756,0.0237578037628016,0.9,"mean","qi"
"471","RLNWR_N","BB",1,0,0.0156073782260854,0.0124741948490762,0.0189962304370697,0.9,"mean","qi"
"472","RLNWR_N","BB",1,1,0.0268885575786663,0.0239474526249114,0.030451397813233,0.9,"mean","qi"
"473","RLNWR_N","BLNWR",0,0,4.65700241121324e-06,1.96159870563264e-06,9.32551045646003e-06,0.9,"mean","qi"
"474","RLNWR_N","BLNWR",0,1,8.20936836955525e-06,3.41121207018478e-06,1.70702310111227e-05,0.9,"mean","qi"
